"Question","Options","Correct Answer","Justification","revoir"
"How do you specify parameters when reading data in Spark?","a) Using `.option` during the read - b) Using `.parameter` during the read - c) Using `.keys` during the read","a) Using `.option` during the read","a) Using `.option` during the read : Correct - car `.option` permet de passer des paires clé-valeur pour configurer la lecture des données.","0.0"
"You have an app named App1 that contains two datasets named dataset1 and dataset2. App1 frequently queries dataset1. App1 infrequently queries dataset2. You need to prevent queries to dataset2 from affecting the buffer pool and aging out the data in dataset1. Which type of partitioning should you use?","a) functional - b) horizontal - c) table - d) vertical","d) vertical","En utilisant le partitionnement vertical - différentes parties de la base de données peuvent être isolées les unes des autres pour améliorer l'utilisation du cache.","0.0"
"You have an Azure Synapse Analytics database named DB1. You need to increase the concurrency available for DB1. Which cmdlet should you run?","a) Set-AzSqlDatabase - b) Start-AzSqlDatabaseActivity - c) Update-AzKustoDatabase - d) Update-AzSynapseSqlDatabase","a) Set-AzSqlDatabase","La commande correcte pour augmenter la concurrence sur une base de données est Set-AzSqlDatabase - car elle permet de mettre à l'échelle la base de données.  - -Les autres réponses ne sont pas correctes car : -- **b) Start-AzSqlDatabaseActivity** : Cette commande est utilisée pour démarrer une activité liée à la base de données - mais pas pour ajuster la concurrence. -- **c) Update-AzKustoDatabase** : Cette commande est spécifique à Azure Data Explorer (Kusto) et ne s'applique pas à Azure Synapse Analytics. -- **d) Update-AzSynapseSqlDatabase** : Bien que cela semble lié - cette commande n'est pas utilisée pour ajuster la concurrence dans une base de données.","0.0"
"You are testing a change to an Azure Data Factory pipeline. You need to check the change into source control without affecting other users' work in the data factory. What should you do?","a) Save the change to a forked branch in the source control project - b) Save the change to the master branch of the source control project - c) Save the changed pipeline to your workstation","a) Save the change to a forked branch in the source control project","La meilleure solution pour tester des modifications dans un pipeline sans affecter les autres utilisateurs est d'enregistrer les changements dans une branche forkée du projet de contrôle de version. Cela permet de travailler en parallèle sans perturber la branche principale. - -Les autres options ne sont pas correctes car : -- **b) Enregistrer les changements dans la branche master** : Cela affecterait potentiellement le travail des autres utilisateurs - car la branche master est généralement la version stable utilisée par tout le monde. -- **c) Enregistrer le pipeline modifié sur votre poste de travail** : Cela ne fournit pas de contrôle de version et ne permet pas de tester dans un environnement de collaboration.","0.0"
"Choose valid examples of unstructured data.","a) Microsoft SQL Server - b) Binary Files - c) Azure SQL Database - d) Audio Files - e) Azure SQL Data Warehouse - f) Image Files","b) Binary Files - d) Audio Files - f) Image Files","b) Binary Files - d) Audio Files - f) Image Files : Corrects - car ces fichiers n'ont pas de structure définie. a) Microsoft SQL Server - c) Azure SQL Database - e) Azure SQL Data Warehouse : Incorrects - car ils sont des exemples de données structurées.","0.0"
"Working as a data engineer for a car sales company - you need to design an application that would accept market information as an input. Using the machine learning classification model - the application will classify the input data into two categories: a) Car models that sell more with buyers between 18-40 years and b) Car models that sell more with people above 40. What would you recommend to train the model?","a) Power BI Models - b) Text Analytics API - c) Computer Vision API - d) Apache Spark MLlib","d) Apache Spark MLlib","Apache Spark MLlib est utilisé pour entraîner des modèles de machine learning sur de grandes quantités de données. Il est parfaitement adapté à ce scénario de classification basé sur les préférences de vente.","0.0"
"You need to implement version changes to the integration pipelines. The solution must meet the data integration requirement. In which order should you perform the actions?","a) Merge changes - b) Create a pull request - c) Create a feature branch - d) Publish changes - e) Create a repository and main branch","e) Create a repository and main branch - c) Create a feature branch - b) Create a pull request - a) Merge changes - d) Publish changes","e) Create a repository and main branch - c) Create a feature branch - b) Create a pull request - a) Merge changes - d) Publish changes : Correct - car ce flux de travail assure que les modifications dans les pipelines d'intégration sont bien contrôlées et publiées.","0.0"
"You have an external table in Azure Synapse pointing to a folder with multiple files and subfolders. If you query the external table- which files will be returned?","a) Files in the top folder only - b) Files in the top folder and subfolders - c) Only files explicitly defined in the schema","a) Files in the top folder only","a) Files in the top folder only : Correct - car seules les données du dossier racine sont renvoyées - sauf si des sous-dossiers sont explicitement spécifiés dans la requête.","0.0"
"You have an Azure Synapse Analytics dedicated SQL pool with partitioned tables. You need to overwrite a partition. What should you do?","a) Insert the data from staging to production - b) Switch the first partition from staging to production - c) Switch the first partition from production to staging - d) Update the production table from staging","b) Switch the first partition from staging to production","b) Switch the first partition from staging to production : Correct - car cela minimise le temps de chargement en basculant la partition directement sans avoir à insérer ou mettre à jour manuellement.","0.0"
"You need to trigger an Azure Data Factory pipeline when a file arrives in Azure Data Lake. Which resource provider should you enable?","a) Microsoft SQL - b) Microsoft Automation - c) Microsoft Event Grid - d) Microsoft Event Hub","c) Microsoft Event Grid","c) Microsoft Event Grid : Correct - car Azure Event Grid est conçu pour déclencher des événements basés sur le stockage - tels que l'arrivée de fichiers dans un conteneur.","0.0"
"You have an Azure Synapse Analytics database named DB1. You plan to import data into DB1. You need to maximize the performance of the data import. What should you implement?","a) functional partitioning on the source data - b) horizontal partitioning on the source data - c) table partitioning on the target database - d) vertical partitioning on the source data","b) horizontal partitioning on the source data","En utilisant le partitionnement horizontal - vous pouvez améliorer les performances du chargement des données. À mesure que plus de ressources serveur et de bande passante sont disponibles pour les fichiers sources - le processus d'importation devient plus rapide.","0.0"
"Azure Databricks is the least expensive choice when you have to store data but don't need to query it. Is this statement correct?","a) Yes - b) No","b) No","b) No : Correct - car Azure Databricks n'est pas la solution la moins chère pour stocker des données sans les interroger. a) Yes : Incorrect - car Databricks est plus coûteux que d'autres solutions comme Azure Storage.","0.0"
"By default- how are corrupt records dealt with using Spark's `spark.read.json()` function?","a) They appear in a column called `corrupt_record` - b) They are automatically deleted - c) They throw an exception and exit read operation","a) They appear in a column called `corrupt_record`","a) They appear in a column called `corrupt_record` : Correct - car Spark enregistre les lignes corrompues dans une colonne spéciale pour les examiner plus tard.","0.0"
"La vue Gantt dans Azure Data Factory permet de visualiser graphiquement les exécutions de pipeline et leur durée.","Elle permet de voir quels pipelines sont exécutés simultanément et lesquels s'exécutent à des moments différents.","La vue Gantt regroupe les exécutions par nom - annotation ou balise créée dans le pipeline.","Pour une analyse graphique des données de temps d'exécution sur une période donnée - la vue Gantt est la solution idéale pour surveiller et comprendre les performances des pipelines dans Azure Data Factory.","0.0"
"By default- how many partitions will a new Event Hub have?","a) One - b) Two - c) Three - d) Four - e) Eight","d) Four","d) Four : Correct - car par défaut - un nouvel Event Hub est configuré avec quatre partitions - offrant un bon compromis entre performance et gestion des charges.","0.0"
"You have an Azure Synapse Analytics data pipeline. You need to run the pipeline at scheduled intervals. What should you configure?","a) a control flow - b) a sink - c) a trigger - d) an activity","c) a trigger","Un **trigger** est nécessaire pour lancer l'exécution d'un pipeline à des intervalles planifiés.  - -Les autres options ne sont pas correctes car : -- **a) Control flow** : est une activité qui implémente la logique de traitement - mais ne déclenche pas le pipeline. -- **b) Sink** : représente une cible dans un flux de données - mais ne fournit pas la capacité de déclencher le pipeline. -- **d) Activity** : est une tâche dans le pipeline - mais ne peut pas déclencher directement le pipeline.","0.0"
"You have an Azure subscription that contains the following resources: An Azure Synapse Analytics workspace named workspace1- A virtual network named VNet1 that has two subnets named sn1 and sn2- Five virtual machines that are connected to sn1. You need to ensure that the virtual machines can connect to workspace1. The solution must prevent traffic from the virtual machines to workspace1 from traversing the public internet. What should you create?","a) Application gateway - b) ExpressRoute - c) Network peering - d) Private endpoint - e) Service endpoint","d) Private endpoint","Vous pouvez utiliser un point de terminaison privé (Private Endpoint) pour connecter les machines virtuelles à workspace1. Les points de terminaison de service ne sont pas disponibles pour Azure Synapse Analytics. Le réseau jumelé (Network Peering) - le gateway applicatif (Application Gateway) - et ExpressRoute ne répondent pas aux exigences de cette solution.","0.0"
"You have a partitioned table in an Azure Synapse Analytics dedicated SQL pool. What should you include in the SQL queries to maximize partition elimination?","a) JOIN - b) WHERE - c) DISTINCT - d) GROUP BY","b) WHERE","b) WHERE : Correct - car il permet d'éliminer les partitions non pertinentes pour améliorer les performances. a) - c) - d) : Incorrects - car ils ne permettent pas d'élimination de partitions.","0.0"
"What should you recommend using to secure sensitive customer contact information?","a) Transparent Data Encryption - b) Row-Level Security - c) Column-Level Security - d) Data Sensitivity Labels","c) Column-Level Security","c) Column-Level Security : Correct - car cette solution permet de restreindre l'accès aux colonnes contenant des informations sensibles - comme les informations de contact des clients.","0.0"
"You are a data architect- and the data engineering team needs to configure data synchronization between an on-premises Microsoft SQL Server database and Azure SQL Database. The synchronization process must perform an initial data synchronization with minimal downtime and then bi-directional synchronization after. Which synchronization method should you use?","a) Transactional Replication - b) Data Migration Assistant - c) SQL Server Agent Job - d) Azure SQL Data Sync","d) Azure SQL Data Sync","d) Azure SQL Data Sync : Correct - car Azure SQL Data Sync permet la synchronisation bidirectionnelle des données entre des bases de données locales et Azure SQL.","0.0"
"How do you specify parameters when reading data in Spark?","a) Using `.option` during the read - b) Using `.parameter` during the read - c) Using `.keys` during the read","a) Using `.option` during the read","a) Using `.option` during the read : Correct - car `.option` permet de passer des paires clé-valeur pour configurer la lecture des données.","0.0"
"You need to trigger an Azure Data Factory pipeline when a file arrives in an Azure Data Lake Storage Gen2 container. Which resource provider should you enable?","a) Microsoft.SQL - b) Microsoft.Automation - c) Microsoft.EventGrid - d) Microsoft.EventHub","c) Microsoft.EventGrid","c) Microsoft.EventGrid : Correct - car Event Grid permet de déclencher des pipelines en réponse à l'arrivée de fichiers dans un compte de stockage.","0.0"
"You have an ELT solution that uses an Azure Storage account named datastg- an Azure HDInsight cluster- and an Azure Data Factory resource. You need to run a Hive script as an activity in the Data Factory pipeline. The solution must write the output of the script to a folder named devices in a container named data in the storage account. What should you add to the Output value in the JSON file?","a) http://data@datastg.blob.core.windows.net/devices/ - b) https://datastg.blob.core.windows.net/data/devices/ - c) wasb://data@datastg.blob.core.windows.net/devices/ - d) wasb://datastg.blob.core.windows.net/data/devices/","c) wasb://data@datastg.blob.core.windows.net/devices/","Le format wasb://data@datastg.blob.core.windows.net/devices/ est correct pour indiquer l'emplacement du fichier dans un script Hive pour écrire dans un compte de stockage Azure. La réponse d) est incorrecte car le conteneur doit être placé devant le nom du compte de stockage avec un @. Vous utilisez wasb - et non http.","0.0"
"You have an Azure subscription that contains a Delta Lake solution. The solution contains a table named employees. You need to view the contents of the employees table from 24 hours ago. You must minimize the time it takes to retrieve the data. What should you do?","a) Query the table by using TIMESTAMP AS OF - b) Query the table by using VERSION AS OF - c) Restore the database from a backup and query the table - d) Restore the table from a backup and query the table","a) Query the table by using TIMESTAMP AS OF","La commande TIMESTAMP AS OF permet de consulter les données historiques dans une table Delta Lake à un moment précis. C'est la méthode la plus rapide pour récupérer des données d'il y a 24 heures. Les autres options comme VERSION AS OF ou la restauration à partir d'une sauvegarde prendraient plus de temps et ne sont pas nécessaires dans ce cas.","0.0"
"You have an Azure Synapse Analytics workspace that includes an Azure Synapse Analytics cluster named Cluster1. You need to review the estimated execution plan for a query on a specific node of Cluster1. The query has a spid of 94 and a distribution ID of 5. Which command should you run?","a) DBCC PDW_SHOWEXECUTIONPLAN (5 - 94) - b) DBCC SHOWEXECUTIONPLAN (5 -94) - c) SELECT * FROM sys.dm_exec_query_plan WHERE spid = 94 AND distribution_id = 5 - d) SELECT * FROM sys.pdw_nodes_exec_query_plan WHERE spid = 94 AND distribution_id = 5","d) SELECT * FROM sys.pdw_nodes_exec_query_plan WHERE spid = 94 AND distribution_id = 5","La commande correcte pour examiner le plan d'exécution d'une requête sur un nœud spécifique dans Azure Synapse Analytics est SELECT * FROM sys.pdw_nodes_exec_query_plan WHERE spid = 94 AND distribution_id = 5. Cette vue système affiche le plan d'exécution des requêtes dans un environnement distribué comme Synapse Analytics.  - -Les autres réponses ne sont pas correctes car : -- **a) DBCC PDW_SHOWEXECUTIONPLAN (5 - 94)** : Cette commande n'est pas valide pour afficher les plans d'exécution dans Azure Synapse. Elle est incorrecte. -- **b) DBCC SHOWEXECUTIONPLAN (5 -94)** : DBCC SHOWEXECUTIONPLAN est utilisé dans SQL Server - mais pas dans un environnement distribué comme Azure Synapse Analytics. -- **c) SELECT * FROM sys.dm_exec_query_plan WHERE spid = 94 AND distribution_id = 5** : Cette vue système est utilisée dans SQL Server pour des environnements non distribués. Elle ne fonctionnera pas dans Azure Synapse Analytics - car Synapse utilise des nœuds distribués.","0.0"
"You have an Azure Synapse Analytics dedicated SQL pool. You need to create a table named factInternetSales that will be a large fact table in a dimensional model. FactInternetSales will contain 100 million rows and two columns named SalesAmount and OrderQuantity. Queries executed on factInternetSales will aggregate the values in SalesAmount and OrderQuantity from the last year for a specific product. The solution must minimize the data size and query execution time. How should you complete the code?","a) Clustered Columnstore Index - b) Clustered Index - c) Heap","a) Clustered Columnstore Index","a) Clustered Columnstore Index: Correct - because columnstore indexes minimize data size and optimize query performance for large fact tables that need aggregation.","0.0"
"Which security feature does Azure Databricks not support?","a) Azure Active Directory - b) Shared Access Keys - c) Role-Based Access","b) Shared Access Keys","b) Shared Access Keys : Correct - car Databricks ne prend pas en charge les clés d'accès partagé. a) Azure Active Directory - c) Role-Based Access : Incorrects - car ces fonctionnalités de sécurité sont prises en charge par Azure Databricks.","0.0"
"You are working on Azure Data Lake Store Gen1 and need to know the schema of external data. Which of the following plugins would you use to know the external data schema?","a) IPV4 Lookup - b) MySQL Request - c) Pivot - d) Narrow - e) Infer Storage Schema","e) Infer Storage Schema","e) Infer Storage Schema : Correct - car ce plugin permet de déduire le schéma à partir des données de stockage externes lorsque le schéma est inconnu.","0.0"
"You are designing a database solution that will host data for multiple business units. You need to ensure that queries from one business unit do not affect the other business units. Which type of partitioning should you use?","a) functional - b) horizontal - c) table - d) vertical","a) functional","En utilisant le partitionnement fonctionnel - les différents utilisateurs de la base de données peuvent être isolés les uns des autres afin de s'assurer qu'une unité commerciale n'affecte pas une autre unité commerciale.","0.0"
"You are loading 1 million rows daily into a staging table in Azure Synapse Analytics. Which distribution method- indexing- and partitioning options should you select?","a) Hash - b) Round-robin - c) Clustered Columnstore - d) Date Partitioning","a) Hash - c) Clustered Columnstore - d) Date Partitioning","a) Hash - c) Clustered Columnstore - d) Date Partitioning : Corrects - car ces choix optimisent les performances pour les grandes quantités de données chargées quotidiennement.","0.0"
"You use PySpark in Azure Databricks to parse the following JSON input. You need to output the data in the following tabular format. How should you complete the PySpark code?","a) .select - b) .filter - c) .groupBy - d) .withColumn","a) .select | d) .withColumn","a) .select | d) .withColumn: Correct - as these functions in PySpark are used to select specific columns and add new columns to transform the data into the desired tabular format.","0.0"
"Which service should you use for ingesting millions of events per second and integrating with Azure Functions?","a) Azure Cosmos DB - b) Apache Spark - c) Azure Synapse Analytics - d) Azure Event Hubs","d) Azure Event Hubs","d) Azure Event Hubs : Correct - car il permet d'ingérer des millions d'événements par seconde et s'intègre avec Azure Functions. a) Azure Cosmos DB - b) Apache Spark - c) Azure Synapse Analytics : Incorrects - car ils sont principalement utilisés pour le stockage ou le traitement des données - et non pour l'ingestion massive en temps réel.","0.0"
"You are developing a solution that will use Azure Stream Analytics. The solution will accept input from Azure Blob storage named customers. The file will contain both in-store and online customer details. The online customers will provide a mailing address. You also have a file in Blob storage named location_incomes that contains median incomes based on location. The file is rarely used. You need to use an address to look up a median income based on the location and must output the data to Azure SQL Database for immediate use and to Azure Data Lake Storage Gen 2 for long-term retention. The solution is to implement a Stream Analytics job that has two streaming inputs- one query- and two outputs. Does this meet the goal?","a) Yes - b) No","b) No","b) No : Correct - car dans cette solution - il manque un input de référence pour l'utilisation rare du fichier `location_incomes` et des requêtes distinctes pour les clients en magasin et en ligne.","0.0"
"You are working as a data engineer in a company. Your company wants you to ingest data onto cloud data platforms in Azure. Which data processing framework will you use?","a) Online transaction processing (OLTP) - b) Extract - transform - and load (ETL) - c) Extract - load - and transform (ELT)","c) Extract - load - and transform (ELT)","c) ELT est le cadre de traitement de données le plus utilisé dans les plateformes cloud comme Azure. Il consiste à extraire les données - à les charger dans l'entrepôt de données (comme Azure Data Lake ou Azure Synapse) - puis à les transformer après le chargement.Options incorrectes :a) Online transaction processing (OLTP) : OLTP est utilisé pour les transactions en temps réel - et non pour l'ingestion de grandes quantités de données.b) Extract - transform - and load (ETL) : Bien qu'ETL soit utilisé dans certains scénarios - ELT est privilégié dans le cloud car il permet de charger rapidement les données brutes avant de les transformer.","0.0"
"You need to design a solution for processing real-time data using Azure HDInsight and Power BI. Which actions should you perform in sequence?","a) Create HDInsight cluster - b) Create Jupyter notebook - c) Run Spark job - d) Load to Power BI","a) Create HDInsight cluster - b) Create Jupyter notebook - c) Run Spark job - d) Load to Power BI","a) Create HDInsight cluster - b) Create Jupyter notebook - c) Run Spark job - d) Load to Power BI : Corrects - car cela représente le flux de travail pour traiter et visualiser les données en temps réel dans Power BI.","0.0"
"In Unstructured data you define data type at query time.","True - False","True","Unstructured data does not follow a predefined schema - and data types are often defined at query time.","0.0"
"Unstructured data is stored in non-relational systems commonly called NoSQL. Is this statement correct?","a) Yes - b) No","a) Yes","a) Yes : Correct - car les données non structurées - telles que les fichiers audio ou vidéo - sont généralement stockées dans des systèmes NoSQL.","0.0"
"You are writing a data import task in Azure Data Factory. You need to increase the number of rows per call to the REST sink. What should you change?","a) requestInterval to 500 - b) requestInterval to 10 -000 - c) writeBatchSize to 1 -000 - d) writeBatchSize to 100 -000","d) writeBatchSize to 100 -000","Pour augmenter le nombre de lignes par lot - il faut augmenter la valeur de writeBatchSize. La valeur par défaut pour ce paramètre est de 10 -000 - donc pour augmenter cette capacité - il est nécessaire d'utiliser une valeur supérieure à celle par défaut - comme 100 -000. Les autres options ne concernent pas directement le nombre de lignes par lot.","0.0"
"You have an Azure subscription with an Azure Storage account. You need to identify and delete blobs that were not modified in the last 100 days. You scheduled an Azure Data Factory pipeline with delete activity. Does this solution meet the goal?","a) Yes - b) No","b) No","b) No : Correct - car une simple activité de suppression dans un pipeline Azure Data Factory ne suffit pas pour satisfaire les exigences de conformité.","0.0"
"You have an Azure Data Lake Storage Gen2 account. You grant developers Read and Write permissions by using ACLs to the files in the path \root\input\cleaned. The developers report that they cannot open the files. How should you modify the permissions to ensure that the developers can open the files?","a) Add Contributor permission to the developers. - b) Add Execute permissions to the files. - c) Grant Execute permissions to all folders. - d) Grant Execute permissions to the root folder only.","c) Grant Execute permissions to all folders.","Si vous utilisez uniquement des ACLs (et non Azure RBAC) - vous devez accorder des permissions d'exécution aux dossiers de niveau supérieur ainsi qu'à tous les dossiers dans la hiérarchie pour que les utilisateurs puissent accéder aux fichiers. Ajouter des permissions de contributeur ne donnera pas accès aux données.","0.0"
"You have two Azure Data Factory pipelines. You need to monitor the runtimes of the pipelines. What should you do?","a) From Azure Data Studio - use the performance monitor view. - b) From the Azure Monitor blade of the Azure portal - review the metrics. - c) From the Data Factory blade of the Azure portal - review the Monitor & Manage tile.","c) From the Data Factory blade of the Azure portal - review the Monitor & Manage tile.","Les temps d'exécution des pipelines existants sont disponibles dans le portail Azure - dans la section Data Factory - sous la tuile Monitor & Manage. Azure Data Studio n'est pas utilisé pour surveiller Data Factory.","0.0"
"What notebook format is used in Databricks?","a) DBC - b) .notebook - c) .spark","a) DBC","a) DBC : Correct - car DBC est le format utilisé par Databricks. b) .notebook - c) .spark : Incorrects - car ces formats de fichiers n'existent pas dans Databricks.","0.0"
"You are designing an Azure Stream Analytics job to process incoming events from sensors in a retail environment. Which type of window should you use?","a) Snapshot - b) Tumbling - c) Hopping - d) Sliding","c) Hopping","c) Hopping : Correct - car la fenêtre glissante permet un calcul des moyennes sur des intervalles de 5 minutes pour une fenêtre de 15 minutes. a) Snapshot - b) Tumbling - d) Sliding : Incorrects - car ils ne répondent pas aux besoins de chevauchement et d'intervalles.","0.0"
"You need to copy blob data from Azure Storage to Azure SQL Data Warehouse in the UK South region. Which integration runtime should you use?","a) Azure Integration Runtime - b) Self-Hosted Integration Runtime - c) Azure SSIS Integration Runtime","a) Azure Integration Runtime","a) Azure Integration Runtime : Correct - car cela permet de respecter les exigences de localisation des données et minimise l'effort administratif.","0.0"
"You are building an Azure Stream Analytics job that queries reference data from a product catalog file. The file is updated daily. You need to configure the Stream Analytics job to pick up the new reference data. What should you configure?","a) Set a refresh period - b) Enable compression on the input file - c) Use query windowing - d) Configure late arrival tolerance","a) Set a refresh period","a) Set a refresh period: Correct - because configuring the refresh period ensures that the Stream Analytics job picks up the latest version of the reference data daily.","0.0"
"You are planning to use Azure Databricks cluster for a single user. Which type of Databricks cluster should you use?","a) Standard - b) Single Node - c) High Concurrency","a) Standard","a) Standard : Correct - car le cluster standard est recommandé pour un seul utilisateur. b) - c) : Incorrects - car ils ne sont pas nécessaires pour ce cas d'utilisation simple.","0.0"
"You have an Azure Data Factory pipeline named Pipeline1. You need to ensure that Pipeline1 runs when an email is received. What should you use to create the trigger?","a) an Azure logic app - b) the Azure Synapse Analytics pipeline designer - c) the Data Factory pipeline designer","a) an Azure logic app","La solution correcte est d'utiliser une Azure Logic App pour déclencher l'exécution d'un pipeline lorsqu'un email est reçu. -- **b) the Azure Synapse Analytics pipeline designer** : Incorrect - car il n'est pas conçu pour gérer des déclencheurs basés sur des emails. -- **c) the Data Factory pipeline designer** : Incorrect - car bien que cela permette de créer des pipelines - les déclencheurs par email nécessitent une Azure Logic App.","0.0"
"Which Azure Data Factory components should you recommend using together to import daily inventory data from SQL Server to Azure Data Lake Storage?","a) Azure Integration Runtime - b) Azure SSIS Integration Runtime - c) Self-Hosted Integration Runtime | a) Event-based Trigger - b) Scheduled Trigger - c) Tumbling Window Trigger | a) Copy Activity - b) Lookup Activity - c) Stored Procedure Activity","c) Self-Hosted Integration Runtime | b) Scheduled Trigger | a) Copy Activity","c) Self-Hosted Integration Runtime | b) Scheduled Trigger | a) Copy Activity : Correct - car le runtime auto-hébergé est nécessaire pour se connecter à une base SQL sur un réseau privé. Le trigger programmé permet de respecter la fréquence d'importation et l'activité de copie est utilisée pour transférer les données.","0.0"
"Which Azure service is best suited for managing and governing your data?","a) Azure Data Factory - b) Azure Purview - c) Azure Data Lake Storage","b) Azure Purview","b) Azure Purview : Correct - car Azure Purview est la solution de gouvernance des données de Microsoft - permettant de gérer et classifier les données.","0.0"
"You are a data architect- and the data engineering team needs to configure data synchronization between an on-premises Microsoft SQL Server database and Azure SQL Database. The synchronization process must perform an initial data synchronization with minimal downtime and then bi-directional synchronization after. Which synchronization method should you use?","a) Transactional Replication - b) Data Migration Assistant - c) SQL Server Agent Job - d) Azure SQL Data Sync","d) Azure SQL Data Sync","d) Azure SQL Data Sync : Correct - car Azure SQL Data Sync permet la synchronisation bidirectionnelle des données entre des bases de données locales et Azure SQL.","0.0"
