"Question","Options","Correct Answer","Justification"
"In unstructured data - you define data type at query time.","True - False","True","True: In unstructured data - the data does not follow a predefined schema - and the data types are often interpreted at query time based on the requirements."
"You have created an external table named ExtTable in Azure Data Explorer. Now a database user needs to run a KQL (Kusto Query Language) query on this external table. Which of the following function should he use to refer to this table?","a) external_table() - b) access_table() - c) ext_table() - d) None of the above","a) external_table()","a) external_table(): This function is used in KQL to refer to an external table in Azure Data Explorer. Other options do not exist in KQL."
"Which of the following data file formats offers the highest performance and flexibility for data analytics?","a) Yet Another Markup Language (YAML) - b) Extensible Markup Language (XML) - c) Apache Parquet - d) JavaScript Object Notation (JSON)","c) Apache Parquet","Apache Parquet is optimized for big data processing and analytics - offering high performance for columnar storage."
"What distinguishes a Failure dependency from a Fail activity?","a) When a Fail activity is executed without error - the pipeline status is set to Success - b) When an activity bound to a Failure dependency is successful - the pipeline status is set to Success - c) Fail activities always result in a Failed pipeline run status - d) Failure dependencies are useful for cleaning up failed activities so the issue can be avoided when triggered again","c) Fail activities always result in a Failed pipeline run status","Fail activities always result in a Failed pipeline run status - regardless of conditions."
"You have created an external table named ExtTable in Azure Data Explorer. Now a database user needs to run a KQL (Kusto Query Language) query on this external table. Which of the following function should he use to refer to this table?","a) external_table() - b) access_table() - c) ext_table() - d) None of the above","a) external_table()","a) external_table(): This function is used in KQL to refer to an external table in Azure Data Explorer. Other options do not exist in KQL."
"What information is displayed as output when you execute the PDW_SHOWSPACEUSED command?","a) The number of rows on each table for each distribution - b) The amount of physical space used for the table on each distribution - c) The amount of data read from cache for the given table per distribution - d) The amount of remaining space in the distribution","a) The number of rows on each table for each distribution - b) The amount of physical space used for the table on each distribution","The command shows the number of rows and the physical space used for the table on each distribution."
"Why are partition keys significant when streaming data through Azure Stream Analytics?","a) Partitions are only important on datastores - not data streams - b) The number of inbound partitions must equal the number of outbound partitions - c) They optimize OLAP operations - d) They enable parallelism and concurrency","d) They enable parallelism and concurrency","Partition keys enable parallelism and concurrency in stream processing - allowing more efficient workload distribution."
"Which Azure product is typically used for running batch jobs as part of an Azure Synapse Analytics Custom activity?","a) Azure Virtual Machine - b) Azure Functions - c) Azure App Services WebJob - d) Azure Batch","d) Azure Batch","Azure Batch is designed for running large-scale batch processing jobs in Azure Synapse."
"What does the 'E' in ETL stand for?","a) Elicit - b) Evacuate - c) Extract - d) Excerpt","c) Extract","ETL stands for Extract - Transform - Load."
"You have created an external table named ExtTable in Azure Data Explorer. Now a database user needs to run a KQL (Kusto Query Language) query on this external table. Which of the following function should he use to refer to this table?","a) external_table() - b) access_table() - c) ext_table() - d) None of the above","a) external_table()","a) external_table(): This function is used in KQL to refer to an external table in Azure Data Explorer. Other options do not exist in KQL."
"What distribution model is typically recommended as the most optimal for dimension tables - considering their unique characteristics and requirements?","a) Replicated - b) Round-robin - c) Heap - d) Partitioned columnstore","a) Replicated","Replicated distribution ensures optimal performance for dimension tables by replicating them across compute nodes."
"Which Azure Storage access tier is the most expensive in terms of cost?","a) Archive - b) Hot - c) Premium - d) Cold","c) Premium","The Premium tier offers the highest performance at the highest cost."
"In Structured data you define data type at query time.","True - False","False","Structured data requires predefined types - set during schema creation."
"In Unstructured data you define data type at query time.","True - False","True","Unstructured data does not follow a predefined schema - and data types are often defined at query time."
"You have created an external table named ExtTable in Azure Data Explorer. Now - a database user needs to run a KQL (Kusto Query Language) query on this external table. Which of the following function should he use to refer to this table?","a) external_table() - b) access_table() - c) ext_table() - d) None of the above","a) external_table()","a) external_table(): This function is used in KQL to refer to an external table in Azure Data Explorer. Other options do not exist in KQL."
"You are working as a data engineer in a company. Your company wants you to ingest data onto cloud data platforms in Azure. Which data processing framework will you use?","a) Online transaction processing (OLTP) - b) Extract - transform - and load (ETL) - c) Extract - load - and transform (ELT)","c) Extract - load - and transform (ELT)","c) ELT est le cadre de traitement de données le plus utilisé dans les plateformes cloud comme Azure. Il consiste à extraire les données - à les charger dans l'entrepôt de données (comme Azure Data Lake ou Azure Synapse) - puis à les transformer après le chargement.Options incorrectes :a) Online transaction processing (OLTP) : OLTP est utilisé pour les transactions en temps réel - et non pour l'ingestion de grandes quantités de données.b) Extract - transform - and load (ETL) : Bien qu'ETL soit utilisé dans certains scénarios - ELT est privilégié dans le cloud car il permet de charger rapidement les données brutes avant de les transformer."
"You have an Azure Synapse workspace named MyWorkspace that contains an Apache Spark database named mytestdb. You execute a SQL query after inserting data into mytestdb.myParquetTable using Spark. What will be returned by the following query?","a) 24 - b) an error - c) a null value","b) an error","The query will result in an error because the WHERE clause uses 'name' - which does not exist. The correct column name is 'EmployeeName'."
"To create Data Factory instances - the user account that you use to sign into Azure must be a member of: (Select all options that are applicable)","a) Contributor - b) Owner role - c) Administrator of the Azure subscription - d) Write","a) Contributor - b) Owner role - c) Administrator of the Azure subscription","a) Le rôle de Contributor permet de créer et gérer des ressources dans Azure - y compris Data Factory. b) Le rôle d'Owner permet une gestion complète des ressources. c) L'administrateur d'abonnement a le contrôle total sur la gestion des ressources. d) 'Write' n'est pas un rôle valide dans Azure."
"You need to output files from Azure Data Factory. Which file format should you use for each type of output?","Columnar format: a) Avro - b) GZIP - c) Parquet - d) TXT | JSON with a timestamp: a) Avro - b) GZIP - c) Parquet - d) TXT","Columnar format: c) Parquet | JSON with a timestamp: a) Avro","c) Parquet est un format en colonnes idéal pour l'analyse de grandes quantités de données. a) Avro est adapté aux structures JSON avec horodatage."
"You have created an external table named ExtTable in Azure Data Explorer. Now a database user needs to run a KQL (Kusto Query Language) query on this external table. Which of the following function should he use to refer to this table?","a) external_table() - b) access_table() - c) ext_table() - d) None of the above","a) external_table()","a) external_table(): This function is used in KQL to refer to an external table in Azure Data Explorer. Other options do not exist in KQL."
"Working as a data engineer for a car sales company - you need to design an application that would accept market information as an input. Using the machine learning classification model - the application will classify the input data into two categories: a) Car models that sell more with buyers between 18-40 years and b) Car models that sell more with people above 40. What would you recommend to train the model?","a) Power BI Models - b) Text Analytics API - c) Computer Vision API - d) Apache Spark MLlib","d) Apache Spark MLlib","Apache Spark MLlib est utilisé pour entraîner des modèles de machine learning sur de grandes quantités de données. Il est parfaitement adapté à ce scénario de classification basé sur les préférences de vente."
"You are designing an Azure Stream Analytics solution that will analyze Twitter data. You need to count the tweets in each 10-second window. The solution must ensure that each tweet is counted only once. Solution: You use a sliding window - and you set the window size to 10 seconds. Does this meet the goal?","a) Yes - b) No","b) No","A sliding window allows overlapping windows - meaning an event can be counted multiple times. In this case - a tumbling window is more appropriate as it ensures each event is counted exactly once."
"Which of the following are valid trigger types of Azure Data Factory? (Select all options that are applicable)","a) Monthly Trigger - b) Schedule Trigger - c) Overlap Trigger - d) Tumbling Window Trigger - e) Event-based Trigger","b) Schedule Trigger - d) Tumbling Window Trigger - e) Event-based Trigger","Les types de déclencheurs valides dans Azure Data Factory incluent le Schedule Trigger - Tumbling Window Trigger - et Event-based Trigger. Les déclencheurs mensuels peuvent être configurés via un Schedule Trigger - et Overlap Trigger n'existe pas."
"You are designing an Azure Stream Analytics solution that receives instant messaging data from an Azure Event Hub. You need to ensure that the output from the Stream Analytics job counts the number of messages per time zone every 15 seconds. How should you complete the Stream Analytics query?","1) Pour compléter après FROM MessageStream : a) Last - b) Over - c) SYSTEM.TIMESTAMP() - d) TIMESTAMP BY CreatedAt | 2) Pour compléter dans GROUP BY : a) HOPPINGWINDOW - b) SESSIONWINDOW - c) SLIDINGWINDOW - d) TUMBLINGWINDOW","d) TIMESTAMP BY CreatedAt | d) TUMBLINGWINDOW","TIMESTAMP BY est utilisé pour spécifier la colonne contenant les horodatages des événements. TUMBLINGWINDOW est approprié pour segmenter les événements en fenêtres de 15 secondes sans chevauchement."
"You have created an external table named ExtTable in Azure Data Explorer. Now a database user needs to run a KQL (Kusto Query Language) query on this external table. Which of the following function should he use to refer to this table?","a) external_table() - b) access_table() - c) ext_table() - d) None of the above","a) external_table()","a) external_table(): This function is used in KQL to refer to an external table in Azure Data Explorer. Other options do not exist in KQL."
