"Front","Back"
"#techblackBoard | Question 10

To create Data Factory instances, the user account that you use to sign into Azure must be a member of: [Select all options that are applicable]

Options:
a) Contributor
b) Owner role
c) Administrator of the Azure subscription
d) Write","Correct Answers: a) Contributor, b) Owner role, c) Administrator of the Azure subscription

Explication :
1. **Contributor** : Ce rôle permet aux utilisateurs de créer et gérer toutes sortes de ressources dans Azure, y compris les instances Data Factory, mais sans pouvoir modifier les accès.
2. **Owner role** : Le rôle d'Owner permet de gérer toutes les ressources, y compris la gestion des accès et autorisations, ce qui est crucial pour créer des ressources comme Data Factory.
3. **Administrator of the Azure subscription** : L'administrateur de l'abonnement Azure dispose de toutes les autorisations nécessaires pour créer et gérer des instances Data Factory.

Définitions des termes :
 - **Contributor** : Un rôle Azure RBAC (Role-Based Access Control) qui permet de créer et gérer des ressources sans modifier les accès.
 - **Owner role** : Un rôle Azure qui permet à l'utilisateur de contrôler totalement une ressource, y compris de gérer les permissions d'accès.
 - **Azure subscription administrator** : L'administrateur de l'abonnement a le contrôle total sur toutes les ressources et la facturation dans l'abonnement Azure.

Tags: #techblackBoard"
"#techblackBoard | Question 12

Working as a data engineer for a car sales company you need to design an application that would accept market information as an input. Using the machine learning classification model, the application will classify the input data into two categories:
a) Car models that sell more with buyers between 18-40 years and
b) Car models that sell more with people above 40

What would you recommend to train the model?

Options:
a) Power BI Models
b) Text Analytics API
c) Computer Vision API
d) Apache Spark MLlib","Correct Answer: d) Apache Spark MLlib

Explication : **Apache Spark MLlib** est une bibliothèque de machine learning distribuée qui permet de traiter de grandes quantités de données et d'entraîner des modèles d'apprentissage automatique à grande échelle. Dans ce cas, elle est idéale pour entraîner un modèle de classification qui segmente les acheteurs en fonction de leur âge.

Les autres options ne sont pas adaptées :
 - **Power BI Models** : Power BI est principalement une plateforme de visualisation et d'analyse de données, non conçue pour entraîner des modèles de machine learning.
 - **Text Analytics API** : Cette API est destinée à l'analyse de texte (sentiments, langage, etc.), pas à l'entraînement de modèles de classification.
 - **Computer Vision API** : API utilisée pour analyser les images, pas pour les modèles de classification basés sur des données tabulaires comme ici.

Définitions des termes :
 - **Apache Spark MLlib** : Une bibliothèque de machine learning qui fait partie de l'écosystème Apache Spark, capable d'entraîner des modèles sur des clusters de calcul distribués.
 - **Classification** : Une technique de machine learning qui consiste à attribuer une étiquette ou une catégorie à des données en fonction de certaines caractéristiques.

Tags: #techblackBoard"
"#techblackBoard | Question 13

You are designing an Azure Stream Analytics solution that will analyze Twitter data. You need to count the tweets in each 10-second window. The solution must ensure that each tweet is counted only once.

Solution: You use a session window that uses a timeout size of 10 seconds.
Does this meet the goal?

Options:
a) Yes
b) No","Correct Answer: b) No

Explication : Une **session window** n'est pas appropriée dans ce cas, car elle est utilisée pour regrouper les événements en fonction de périodes d'inactivité, pas pour des fenêtres fixes comme des intervalles de 10 secondes. Pour compter les tweets dans une fenêtre de 10 secondes, une **tumbling window** ou une **sliding window** serait plus adaptée. Une fenêtre de session ne garantit pas que chaque tweet soit compté exactement une fois dans un intervalle fixe.

Définitions des termes :
 - **Session window** : Une fenêtre utilisée pour regrouper des événements lorsqu'ils surviennent dans des intervalles de temps proches, avec un délai d'expiration spécifié pour déterminer la fin de la session.
 - **Tumbling window** : Une fenêtre de durée fixe, non chevauchante, idéale pour regrouper des événements dans des intervalles de temps définis (par exemple, toutes les 10 secondes).
 - **Sliding window** : Une fenêtre qui glisse sur le temps avec des chevauchements, utilisée pour suivre les événements en temps réel tout en regroupant les événements sur une période définie.

Tags: #techblackBoard"
"#techblackBoard | Question 13

You are designing an Azure Stream Analytics solution that will analyze Twitter data. You need to count the tweets in each 10-second window. The solution must ensure that each tweet is counted only once.

Solution: You use a session window that uses a timeout size of 10 seconds.
Does this meet the goal?

Options:
a) Yes
b) No","Correct Answer: b) No

Explication : Une **session window** n'est pas appropriée dans ce cas, car elle est utilisée pour regrouper les événements en fonction de périodes d'inactivité, pas pour des fenêtres fixes comme des intervalles de 10 secondes. Pour compter les tweets dans une fenêtre de 10 secondes, une **tumbling window** ou une **sliding window** serait plus adaptée. Une fenêtre de session ne garantit pas que chaque tweet soit compté exactement une fois dans un intervalle fixe.

Définitions des termes :
 - **Session window** : Une fenêtre utilisée pour regrouper des événements lorsqu'ils surviennent dans des intervalles de temps proches, avec un délai d'expiration spécifié pour déterminer la fin de la session.
 - **Tumbling window** : Une fenêtre de durée fixe, non chevauchante, idéale pour regrouper des événements dans des intervalles de temps définis (par exemple, toutes les 10 secondes).
 - **Sliding window** : Une fenêtre qui glisse sur le temps avec des chevauchements, utilisée pour suivre les événements en temps réel tout en regroupant les événements sur une période définie.

Tags: #techblackBoard"
"#techblackBoard | Question 14

You are designing an Azure Stream Analytics solution that will analyze Twitter data. You need to count the tweets in each 10-second window. The solution must ensure that each tweet is counted only once.

Solution: You use a sliding window, and you set the window size to 10 seconds.
Does this meet the goal?

Options:
a) Yes
b) No","Correct Answer: b) No

Explication : Une **sliding window** n'est pas idéale pour cette tâche car elle chevauche les fenêtres dans le temps. Cela signifie que des tweets peuvent être comptés plusieurs fois si les fenêtres se chevauchent. Pour une tâche qui nécessite un comptage unique de chaque tweet dans un intervalle de 10 secondes, une **tumbling window** serait plus appropriée.

Définitions des termes :
 - **Sliding window** : Une fenêtre qui se déplace sur le temps, créant des chevauchements, ce qui peut entraîner des doublons lors du comptage des événements dans les intervalles.
 - **Tumbling window** : Une fenêtre de durée fixe, non chevauchante, idéale pour des événements qui doivent être comptés une seule fois dans des intervalles définis.

Tags: #techblackBoard"
"#techblackBoard | Question 16

What are the key components of Azure Data Factory? [Select all options that are applicable]

Options:
a) Database
b) Connection String
c) Pipelines
d) Activities
e) Datasets
f) Linked services
g) Data Flows
h) Integration Runtimes","Correct Answers: c) Pipelines, d) Activities, e) Datasets, f) Linked services, g) Data Flows, h) Integration Runtimes

Explication : Les composants clés d'Azure Data Factory sont ceux qui permettent l'orchestration et l'intégration des services et des données. Voici les composants principaux :
1. **Pipelines** : Les pipelines regroupent plusieurs activités afin d'accomplir une tâche. Ils orchestrent le flux de données.
2. **Activities** : Une activité représente une étape de traitement spécifique dans un pipeline.
3. **Datasets** : Ils définissent les données à utiliser dans une activité de pipeline.
4. **Linked services** : Les services liés définissent les connexions aux sources de données ou aux destinations.
5. **Data Flows** : Les flux de données sont des transformations de données qui s'exécutent au sein d'Azure Data Factory.
6. **Integration Runtimes** : Les runtimes d'intégration assurent le déplacement et la transformation des données dans Azure Data Factory.

Les autres options, comme **Database** et **Connection String**, ne sont pas des composants d'Azure Data Factory mais font partie des systèmes de bases de données et des chaînes de connexion respectivement.

Tags: #techblackBoard"
"#techblackBoard | Question 16

What are the key components of Azure Data Factory? [Select all options that are applicable]

Options:
a) Database
b) Connection String
c) Pipelines
d) Activities
e) Datasets
f) Linked services
g) Data Flows
h) Integration Runtimes","Correct Answers: c) Pipelines, d) Activities, e) Datasets, f) Linked services, g) Data Flows, h) Integration Runtimes

Explication : Les composants clés d'Azure Data Factory sont ceux qui permettent l'orchestration et l'intégration des services et des données. Voici les composants principaux :
1. **Pipelines** : Les pipelines regroupent plusieurs activités afin d'accomplir une tâche. Ils orchestrent le flux de données.
2. **Activities** : Une activité représente une étape de traitement spécifique dans un pipeline.
3. **Datasets** : Ils définissent les données à utiliser dans une activité de pipeline.
4. **Linked services** : Les services liés définissent les connexions aux sources de données ou aux destinations.
5. **Data Flows** : Les flux de données sont des transformations de données qui s'exécutent au sein d'Azure Data Factory.
6. **Integration Runtimes** : Les runtimes d'intégration assurent le déplacement et la transformation des données dans Azure Data Factory.

Les autres options, comme **Database** et **Connection String**, ne sont pas des composants d'Azure Data Factory mais font partie des systèmes de bases de données et des chaînes de connexion respectivement.

Tags: #techblackBoard"
"#techblackBoard | Question 15

You are designing an Azure Stream Analytics solution that will analyze Twitter data. You need to count the tweets in each 10-second window. The solution must ensure that each tweet is counted only once.

Solution: You use a tumbling window, and you set the window size to 10 seconds.
Does this meet the goal?

Options:
a) Yes
b) No","Correct Answer: a) Yes

Explication : Une **tumbling window** est idéale pour cette tâche car elle permet de créer des fenêtres non chevauchantes de taille fixe, ici 10 secondes. Cela garantit que chaque tweet est compté une seule fois dans chaque intervalle de 10 secondes.

Définitions des termes :
 - **Tumbling window** : Une fenêtre de durée fixe, non chevauchante, utilisée pour regrouper des événements en intervalles de temps fixes.
 - **Azure Stream Analytics** : Un service cloud qui permet de traiter les flux de données en temps réel provenant de sources comme Twitter.

Tags: #techblackBoard"
"#techblackBoard | Question 17

Which of the following are valid trigger types of Azure Data Factory? [Select all options that are applicable]

Options:
a) Monthly Trigger
b) Schedule Trigger
c) Overlap Trigger
d) Tumbling Window Trigger
e) Event-based Trigger","Correct Answers: b) Schedule Trigger, d) Tumbling Window Trigger, e) Event-based Trigger

Explication : Les types de déclencheurs valides dans Azure Data Factory sont :
1. **Schedule Trigger** : Utilisé pour planifier l'exécution des pipelines à des intervalles définis (quotidien, hebdomadaire, etc.).
2. **Tumbling Window Trigger** : Déclencheur basé sur des fenêtres de temps fixes, souvent utilisé pour traiter des données en blocs temporels non chevauchants.
3. **Event-based Trigger** : Déclencheur qui réagit à des événements tels que l'arrivée de fichiers dans un stockage.

Les autres options comme **Monthly Trigger** et **Overlap Trigger** ne sont pas des déclencheurs valides dans Azure Data Factory.

Définitions des termes :
 - **Schedule Trigger** : Un déclencheur qui exécute un pipeline à des moments précis, planifiés à l'avance.
 - **Tumbling Window Trigger** : Un déclencheur qui fonctionne avec des intervalles de temps fixes et non chevauchants pour le traitement périodique des données.
 - **Event-based Trigger** : Un déclencheur qui exécute un pipeline en réponse à un événement, comme l'arrivée de nouveaux fichiers.

Tags: #techblackBoard"
"#techblackBoard | Question 20

Duplicating customer content for redundancy and meeting service-level agreements (SLAs) is Azure High availability.

Options:
a) Yes
b) No","Correct Answer: a) Yes

Explication : La **haute disponibilité** (High availability) dans Azure consiste à dupliquer les données et les services sur plusieurs zones ou régions afin d'assurer la redondance et de respecter les niveaux de service (SLA). Cela garantit que les services restent disponibles même en cas de panne ou d'interruption d'une région ou d'un centre de données.

Définitions des termes :
 - **High Availability (Haute disponibilité)** : Une architecture conçue pour garantir que les services sont toujours accessibles et qu'ils peuvent continuer à fonctionner même en cas de panne.
 - **SLA (Service-Level Agreement)** : Un engagement de la part du fournisseur de services pour garantir un certain niveau de disponibilité ou de performance des services.

Tags: #techblackBoard"
"#techblackBoard | Question 19

Duplicating customer content for redundancy and meeting service-level agreements (SLAs) is Azure Maintainability.

Options:
a) Yes
b) No","Correct Answer: b) No

Explication : La duplication des données pour assurer la redondance et respecter les SLA fait partie de la **haute disponibilité** (High Availability) et non de la **maintenabilité**. La maintenabilité fait référence à la facilité avec laquelle un système peut être maintenu et mis à jour pour s'assurer qu'il fonctionne correctement et efficacement, tandis que la haute disponibilité garantit que les services sont toujours accessibles même en cas de panne.

Définitions des termes :
 - **Maintainability (Maintenabilité)** : Capacité d'un système à être entretenu, réparé ou mis à jour rapidement et efficacement pour assurer un fonctionnement continu.
 - **High Availability (Haute disponibilité)** : Capacité d'un système à rester accessible et fonctionnel même en cas de panne, en s'appuyant sur la redondance.

Tags: #techblackBoard"
"#Microsoft Learn | Question 1

You need to implement encryption at rest by using transparent data encryption (TDE).
You implement a master key.
What should you do next?

Options:
a) Back up the master database.
b) Create a certificate that is protected by the master key.
c) Create a database encryption key.
d) Turn on the database encryption process.","Correct Answer: b) Create a certificate that is protected by the master key

Explication : Une fois que vous avez créé une clé principale (master key), l'étape suivante pour implémenter le chiffrement transparent des données (TDE) est de créer un certificat protégé par cette clé. Ce certificat est ensuite utilisé pour créer une clé de chiffrement de base de données.

Les autres options ne sont pas correctes car la base de données ne doit pas être sauvegardée à ce stade, et le processus de chiffrement de la base de données ne peut pas être activé avant que la clé de chiffrement ne soit créée.

Définitions des termes :
 - **Master Key (Clé principale)** : Une clé de chiffrement utilisée pour protéger d'autres clés dans une base de données.
 - **Transparent Data Encryption (TDE)** : Une fonctionnalité qui permet de chiffrer automatiquement les données au repos dans une base de données SQL sans modifier les applications existantes.

Tags: #Microsoft Learn"
"#Microsoft Learn | Question 2

You have an Azure Data Lake Storage Gen2 account.
You grant developers Read and Write permissions by using ACLs to the files in the path \root\input\cleaned.
The developers report that they cannot open the files.

How should you modify the permissions to ensure that the developers can open the files?

Options:
a) Add Contributor permission to the developers.
b) Add Execute permissions to the files.
c) Grant Execute permissions to all folders.
d) Grant Execute permissions to the root folder only.","Correct Answer: c) Grant Execute permissions to all folders

Explication : Pour que les développeurs puissent ouvrir les fichiers, ils doivent avoir des **permissions d'exécution (Execute permissions)** sur tous les dossiers menant aux fichiers, en plus des permissions de lecture et d'écriture sur les fichiers eux-mêmes. Les permissions d'exécution sont nécessaires pour permettre la traversée des dossiers dans la hiérarchie. Ajouter des permissions de contributeur ou d'exécution uniquement sur les fichiers ou le dossier racine ne résoudra pas ce problème.

Définitions des termes :
 - **ACL (Access Control List)** : Une liste qui définit les permissions sur des fichiers et dossiers spécifiques.
 - **Execute Permission** : Une permission qui permet à un utilisateur de traverser des dossiers pour accéder à un fichier.

Tags: #Microsoft Learn"
"#Microsoft Learn | Question 3

You use Azure Data Factory to connect to a notebook that runs in an Azure Databricks cluster. The connection is set to use access tokens.

You need to revoke a user's token.
What should you use?

Options:
a) Access control (IAM)
b) Conditional Access
c) the Admin Console
d) Token Management API 2.0","Correct Answer: d) Token Management API 2.0

Explication : Pour révoquer un jeton d'accès d'un utilisateur dans Azure Databricks, vous devez utiliser l'**API de gestion des jetons (Token Management API 2.0)**. L'API permet de créer, lister et révoquer les jetons d'accès utilisés pour authentifier les connexions. Les autres options, comme l'**Admin Console**, ne permettent pas de révoquer les jetons d'accès.

Définitions des termes :
 - **Token Management API 2.0** : Une API dans Azure Databricks qui permet de gérer les jetons d'accès personnels, y compris leur révocation.
 - **Access Control (IAM)** : Un mécanisme utilisé pour définir les permissions des utilisateurs, mais ne permet pas la gestion des jetons d'accès.
 - **Conditional Access** : Utilisé pour restreindre l'accès aux applications en fonction de conditions définies, mais pas pour la gestion des jetons.

Tags: #Microsoft Learn"
"#Microsoft Learn | Question 4

You need to grant an Azure Active Directory user access to write data to an Azure Data Lake Storage Gen2 account.
Which security technology should you use to grant the access?

Options:
a) ACL
b) NTFS
c) OAuth 2.0 Bearer Tokens
d) RBAC","Correct Answer: d) RBAC

Explication : **Role-Based Access Control (RBAC)** est utilisé pour gérer les accès à **Azure Data Lake Storage Gen2** via **Azure Active Directory**. RBAC permet d'accorder des rôles spécifiques, tels que **contributeur** ou **lecteur**, pour permettre aux utilisateurs d'accéder et de manipuler les données dans le compte de stockage. Les autres technologies ne permettent pas de gérer les permissions d'accès pour écrire des données dans **Azure Data Lake Storage Gen2** de manière aussi granulaire.

Définitions des termes :
 - **RBAC (Role-Based Access Control)** : Un mécanisme de gestion des permissions basé sur les rôles qui permet d'accorder des accès spécifiques aux utilisateurs en fonction de leur rôle.
 - **Azure Active Directory** : Un service de gestion des identités et des accès dans le cloud.
 - **ACL (Access Control List)** : Utilisée pour gérer les permissions sur des fichiers ou dossiers spécifiques, mais RBAC est plus large et gère des rôles au niveau du service.

Tags: #Microsoft Learn"
"#Microsoft Learn | Question 5

You have an Azure Synapse Analytics workspace.
You need to monitor bottlenecks related to the SQL Server OS state on each node of the dedicated SQL pools.

Which view should you use?

Options:
a) sys.dm_pdw_nodes
b) sys.dm_pdw_os_threads
c) sys.dm_pdw_wait_stats
d) sys.dm_pdw_waits","Correct Answer: c) sys.dm_pdw_wait_stats

Explication : La vue **sys.dm_pdw_wait_stats** fournit des informations sur les statistiques d'attente liées à l'état du système d'exploitation SQL Server pour chaque instance exécutée sur les différents nœuds. Cette vue est utilisée pour surveiller les goulets d'étranglement liés aux requêtes et aux files d'attente de transmission. Les autres options, comme **sys.dm_pdw_nodes** et **sys.dm_pdw_os_threads**, ne fournissent pas d'informations spécifiques sur les statistiques d'attente liées à l'état du système d'exploitation SQL Server.

Définitions des termes :
 - **sys.dm_pdw_wait_stats** : Une vue dans SQL Server qui fournit des informations sur les statistiques d'attente rencontrées lors de l'exécution d'une requête.
 - **sys.dm_pdw_nodes** : Fournit des informations sur l'état des nœuds, mais pas spécifiquement sur les statistiques d'attente.
 - **sys.dm_pdw_os_threads** : Donne des informations sur les threads en cours d'exécution, mais pas sur les goulets d'étranglement.

Tags: #Microsoft Learn"
