commande_id,client_id,date_commande,montant,statut
242,630,2024-06-20,426.82,En attente
243,763,2024-08-25,441.07,Livree
244,895,2024-02-24,136.04,En attente
245,123,2024-08-15,964.55,Livree
246,350,2024-02-11,369.39,Annulee
247,652,2023-12-28,856.03,En attente
248,362,2024-06-22,580.43,Livree
249,339,2024-03-21,850.63,Expédiee
250,602,2024-09-21,465.98,Annulee
251,188,2024-05-18,983.41,En attente
252,254,2024-02-14,535.3,Livree
253,831,2024-03-24,402.62,Annulee
254,628,2024-09-22,155.42,Livree
255,445,2024-01-12,25.29,Annulee
256,584,2024-08-29,308.19,Livree
257,314,2024-02-11,200.72,En attente
258,463,2024-01-21,368.49,Expédiee
259,19,2024-02-10,899.56,Expédiee
260,887,2023-12-19,385.27,Annulee
261,147,2024-08-28,208.59,Livree
262,242,2024-02-10,819.58,Expédiee
263,584,2024-05-01,126.9,Annulee
264,463,2024-06-19,748.09,En attente
265,111,2024-03-16,546.09,En attente
266,417,2024-09-24,481.12,Annulee
267,139,2024-07-30,211.8,Livree
268,127,2024-04-15,954.04,Expédiee
269,674,2024-03-14,473.63,Annulee
270,895,2023-10-13,936.46,En attente
271,836,2024-06-25,939.8,Livree
272,294,2024-04-12,599.92,Annulee
273,838,2024-10-02,390.05,Annulee
274,750,2024-01-09,205.63,Annulee
275,588,2023-11-26,365.92,Livree
276,888,2024-01-26,416.95,En attente
277,694,2023-12-27,311.15,Livree
278,466,2024-09-17,54.76,Expédiee
279,719,2024-04-06,826.46,En attente
280,540,2024-01-01,787.2,En attente
281,861,2024-02-08,920.28,Livree
282,126,2024-04-05,18.74,Expédiee
283,539,2023-11-28,582.76,Expédiee
284,62,2024-08-14,39.83,Livree
285,112,2024-01-10,156.9,Annulee
286,170,2023-10-11,118.83,En attente
287,592,2024-09-23,666.74,Annulee
288,611,2024-01-15,160.51,Expédiee
289,470,2024-08-14,77.7,Annulee
290,277,2024-09-22,470.27,Livree
291,77,2024-09-25,203.44,Livree
292,109,2024-02-18,142.77,Expédiee
293,211,2024-06-07,132.84,Livree
294,357,2024-06-13,172.6,Annulee
295,973,2024-09-06,365.69,Livree
296,428,2024-05-30,466.39,Expédiee
297,214,2024-03-14,871.11,Annulee
298,452,2024-06-05,22.53,Livree
299,724,2023-12-22,60.42,Expédiee
300,666,2024-07-02,205.7,Livree
301,34,2024-03-02,417.61,Annulee
302,801,2024-09-18,446.68,En attente
303,538,2024-04-02,16.94,Expédiee
304,753,2024-08-19,530.96,Annulee
305,654,2023-12-02,704.26,En attente
306,236,2023-12-03,887.12,Annulee
307,302,2024-01-05,929.91,En attente
308,854,2024-08-15,392.3,Expédiee
309,429,2023-11-22,394.48,Annulee
310,104,2024-05-29,351.49,Livree
311,825,2024-06-11,361.26,En attente
312,446,2024-04-19,641.67,Annulee
313,118,2024-09-09,195.39,Livree
314,388,2024-01-27,896.81,Livree
315,90,2024-06-15,584.86,Expédiee
316,67,2024-03-31,964.62,Livree
317,218,2024-06-13,149.99,Expédiee
318,208,2024-02-06,870.51,Livree
319,983,2023-11-22,879.38,En attente
320,649,2024-09-06,350.69,Annulee
321,346,2023-10-29,390.41,En attente
322,582,2024-05-10,825.38,Annulee
323,535,2024-09-18,991.18,Expédiee
324,102,2024-05-28,458.94,Expédiee
325,984,2024-01-02,421.59,Livree
326,925,2024-07-03,520.23,Expédiee
327,503,2024-07-31,614.98,En attente
328,40,2023-12-24,283.46,Expédiee
329,652,2024-09-04,60.6,Livree
330,760,2024-07-28,898.44,Livree
331,450,2024-02-03,42.66,Annulee
332,567,2023-12-29,562.03,Annulee
333,160,2024-04-01,679.28,Livree
334,484,2024-06-10,129.25,Annulee
335,600,2024-09-24,738.54,Annulee
336,23,2024-08-13,135.6,Expédiee
337,516,2024-06-10,300.26,Annulee
338,415,2024-06-21,700.65,Livree
339,660,2024-09-04,367.78,En attente
340,564,2024-05-02,329.85,Annulee
341,26,2024-07-22,604.97,Expédiee
342,346,2024-08-01,630.68,Annulee
343,411,2024-01-26,215.65,Expédiee
344,648,2024-01-13,792.8,Livree
345,847,2024-02-14,528.74,En attente
346,399,2024-05-01,43.62,Annulee
347,930,2023-11-09,830.9,Livree
348,513,2023-10-09,324.37,En attente
349,29,2024-07-28,675.12,Annulee
350,436,2024-04-02,150.31,En attente
351,776,2024-03-27,841.4,Expédiee
352,57,2024-02-24,291.05,Annulee
353,188,2023-10-10,606.18,Expédiee
354,928,2024-08-06,671.25,Livree
355,25,2023-11-18,146.7,Livree
356,431,2024-07-30,604.56,Expédiee
357,155,2024-04-09,135.58,Livree
358,997,2023-10-24,169.77,Annulee
359,573,2023-10-15,885.89,Annulee
360,26,2024-01-29,580.37,Annulee
361,923,2024-04-11,345.8,En attente
362,855,2023-12-10,361.74,Annulee
363,467,2024-04-23,678.33,Annulee
364,828,2024-06-04,390.07,En attente
365,710,2024-02-09,117.97,Livree
366,967,2023-10-09,823.29,En attente
367,264,2024-03-28,82.11,En attente
368,676,2023-11-05,562.74,En attente
369,491,2024-04-11,912.09,En attente
370,944,2023-12-22,122.33,Expédiee
371,604,2024-06-10,32.19,Livree
372,969,2024-03-31,214.01,En attente
373,316,2024-06-14,399.41,Expédiee
374,152,2024-05-30,771.71,Expédiee
375,951,2023-11-22,751.77,Expédiee
376,258,2024-06-22,451.4,Livree
377,375,2024-07-14,135.3,Livree
378,273,2024-08-15,462.32,Expédiee
379,317,2024-03-27,919.39,En attente
380,88,2024-07-31,476.53,Annulee
381,941,2023-11-03,810.99,Annulee
382,913,2024-08-17,278.97,Expédiee
383,199,2024-09-06,961.9,En attente
384,295,2024-09-20,408.13,Annulee
385,730,2024-05-24,224.77,Expédiee
386,647,2024-04-20,326.92,Annulee
387,888,2023-12-26,700.27,En attente
388,72,2024-09-05,723.67,En attente
389,58,2023-11-03,948.34,En attente
390,395,2024-06-21,514.22,Expédiee
391,338,2023-12-16,130.1,Livree
392,892,2023-10-30,744.96,Expédiee
393,665,2024-04-25,487.01,Livree
394,657,2024-06-27,663.65,Expédiee
395,221,2024-03-23,396.36,Livree
396,651,2024-07-26,988.48,Expédiee
397,488,2023-11-14,215.83,Livree
398,365,2023-12-29,462.06,Annulee
399,78,2023-11-11,899.56,Livree
400,780,2024-09-12,587.35,Expédiee
401,88,2024-08-07,531.25,Annulee
402,60,2023-10-15,505.95,Expédiee
403,81,2024-06-13,809.17,Livree
404,248,2024-04-03,534.42,Annulee
405,799,2023-10-04,556.77,Annulee
406,237,2024-07-02,895.7,En attente
407,476,2024-03-14,369.67,Annulee
408,836,2023-11-01,600.85,Expédiee
409,447,2024-05-10,560.41,Annulee
410,126,2024-04-19,655.15,Expédiee
411,287,2023-12-11,706.14,Livree
412,338,2024-05-09,870.33,Annulee
413,814,2024-06-06,573.82,Expédiee
414,931,2024-03-05,749.04,Expédiee
415,140,2024-06-02,889.52,Livree
416,270,2024-07-15,448.5,Expédiee
417,857,2024-02-18,933.9,Expédiee
418,94,2023-12-24,351.33,Annulee
419,180,2024-03-20,787.07,En attente
420,524,2024-02-09,335.14,Livree
421,361,2024-06-04,470.49,Expédiee
422,270,2024-09-27,61.22,Annulee
423,621,2024-08-19,988.18,En attente
424,665,2024-03-21,704.34,Expédiee
425,294,2024-05-01,181.88,Expédiee
426,363,2024-04-13,553.27,Expédiee
427,274,2024-05-18,309.31,En attente
428,812,2023-10-27,113.36,Livree
429,287,2024-07-28,331.97,En attente
430,730,2024-04-20,480.03,Annulee
431,874,2023-12-28,886.51,Livree
432,658,2023-11-28,640.78,En attente
433,145,2024-09-20,148.01,En attente
434,216,2023-12-29,277.65,Livree
435,113,2024-06-23,705.96,Expédiee
436,414,2024-09-09,868.41,En attente
437,16,2023-10-29,342.39,En attente
438,994,2024-07-19,677.22,Livree
439,126,2024-02-27,787.6,Annulee
440,483,2024-05-05,975.68,Livree
441,973,2024-02-02,51.78,Expédiee
442,967,2024-05-31,574.33,En attente
443,622,2024-04-05,944.25,Expédiee
444,115,2024-06-14,436.97,Livree
445,277,2024-08-09,134.59,Livree
446,11,2024-03-09,531.41,Livree
447,134,2024-09-30,72.38,Annulee
448,564,2024-06-26,596.48,Expédiee
449,482,2024-02-01,233.77,Annulee
450,480,2024-07-12,651.13,Expédiee
451,911,2023-12-02,239.27,Expédiee
452,236,2024-03-11,259.63,Annulee
453,62,2024-08-17,792.55,Annulee
454,774,2024-04-23,455.56,Livree
455,912,2024-01-25,487.96,Livree
456,455,2024-09-10,507.47,En attente
457,20,2024-08-17,6.65,Expédiee
458,514,2024-03-03,313.53,Expédiee
459,110,2024-04-24,129.14,Livree
460,507,2024-01-02,557.84,Annulee
461,738,2023-12-04,340.25,Livree
462,492,2024-09-07,16.17,Expédiee
463,877,2024-01-04,907.64,En attente
464,278,2024-01-02,246.67,Annulee
465,751,2024-08-15,990.36,Annulee
466,191,2024-02-24,866.02,Annulee
467,84,2023-10-23,387.23,En attente
468,769,2024-03-14,844.96,En attente
469,485,2024-09-03,130.24,Livree
470,605,2024-04-20,527.48,Expédiee
471,167,2024-04-07,889.15,Expédiee
472,592,2024-03-17,692.32,Annulee
473,64,2023-11-22,703.71,Annulee
474,741,2024-08-24,471.32,En attente
475,348,2023-12-18,693.49,Expédiee
476,565,2024-07-17,91.92,En attente
477,883,2024-06-16,900.79,Annulee
478,495,2024-06-20,331.41,En attente
479,234,2023-10-30,345.76,En attente
480,75,2024-09-21,469.91,Livree
481,437,2024-01-16,807.21,Livree
482,313,2024-07-13,217.64,Annulee
483,732,2024-03-17,310.78,Livree
484,96,2024-01-30,151.61,Annulee
485,680,2023-12-17,399.72,Expédiee
486,60,2024-05-08,727.69,Annulee
487,924,2024-08-29,562.87,Livree
488,701,2023-10-22,458.89,Expédiee
489,17,2024-02-23,827.28,Annulee
490,317,2023-12-01,661.04,Annulee
491,280,2024-06-09,72.98,En attente
492,921,2024-02-14,488.26,Livree
493,894,2024-09-13,933.02,Annulee
494,929,2024-08-02,218.92,Expédiee
495,501,2024-04-08,683.23,En attente
496,751,2024-09-03,666.56,En attente
497,967,2024-09-01,31.71,Livree
498,863,2024-03-04,0.41,Livree
499,531,2024-08-19,326.9,Annulee
500,289,2024-09-29,661.61,En attente
501,525,2023-10-07,829.18,En attente
502,683,2024-03-10,17.9,Expédiee
503,197,2024-03-21,121.35,En attente
504,952,2023-12-31,265.61,Livree
505,176,2024-06-18,268.35,Expédiee
506,337,2024-01-27,186.06,En attente
507,283,2024-01-16,418.73,Livree
508,863,2024-06-02,63.61,En attente
509,444,2024-02-29,425.64,Livree
510,381,2024-01-01,915.6,En attente
511,257,2024-04-11,303.01,Livree
512,732,2023-10-08,270.42,Expédiee
513,221,2023-11-04,932.06,Annulee
514,691,2023-11-19,704.91,Annulee
515,862,2023-11-13,111.94,Expédiee
516,338,2023-10-22,784.7,Livree
517,290,2024-05-04,693.32,Annulee
518,695,2024-10-02,889.2,En attente
519,342,2024-02-04,404.0,Livree
520,838,2024-05-27,118.16,Livree
521,582,2023-11-28,675.89,Expédiee
522,846,2024-07-22,557.24,Livree
523,874,2024-08-17,840.41,Livree
524,530,2024-04-12,61.54,Annulee
525,112,2023-11-21,865.71,Expédiee
526,609,2024-06-17,612.6,Livree
527,967,2023-12-14,577.02,En attente
528,730,2024-01-05,303.08,Expédiee
529,864,2023-10-04,314.57,Annulee
530,439,2024-08-06,475.12,Expédiee
531,727,2024-05-11,229.97,En attente
532,346,2023-11-25,464.56,Expédiee
533,317,2024-09-12,644.86,Livree
534,205,2024-01-17,446.66,Annulee
535,520,2024-07-31,169.9,Annulee
536,885,2024-03-26,111.06,En attente
537,6,2023-12-12,524.0,Expédiee
538,896,2023-11-08,184.49,Annulee
539,164,2024-05-30,570.52,En attente
540,891,2024-06-17,613.52,En attente
541,896,2023-10-17,158.6,Annulee
542,975,2024-09-28,106.36,En attente
543,699,2024-05-25,594.05,Expédiee
544,963,2024-04-20,30.31,En attente
545,456,2024-01-19,196.68,Livree
546,993,2024-07-29,475.44,Annulee
547,63,2024-04-22,481.41,Annulee
548,286,2024-03-08,212.83,Annulee
549,429,2023-10-25,183.57,Livree
550,271,2024-02-20,743.23,Annulee
551,927,2024-05-06,518.47,Expédiee
552,695,2024-03-19,575.83,En attente
553,478,2024-01-04,498.37,Annulee
554,464,2024-06-04,365.12,Expédiee
555,88,2024-04-22,104.37,En attente
556,399,2024-08-02,54.24,Expédiee
557,480,2024-07-19,478.28,Expédiee
558,231,2023-10-23,15.63,En attente
559,684,2024-06-11,46.58,Annulee
560,704,2024-05-28,655.73,Livree
561,695,2024-10-02,488.51,Livree
562,831,2024-04-16,805.18,Livree
563,968,2023-12-22,226.08,Livree
564,44,2024-03-15,279.8,En attente
565,128,2023-10-13,49.89,Annulee
566,183,2023-11-04,361.23,Livree
567,480,2024-07-27,410.17,En attente
568,548,2024-06-16,791.3,Livree
569,986,2024-06-04,383.42,Expédiee
570,277,2023-12-22,863.08,En attente
571,302,2024-02-11,896.47,En attente
572,141,2024-03-09,657.38,Expédiee
573,176,2024-07-26,439.45,Expédiee
574,940,2024-06-18,95.51,Annulee
575,333,2023-11-12,119.62,Expédiee
576,320,2024-06-18,679.48,Livree
577,632,2024-07-29,478.67,Livree
578,406,2024-06-21,740.17,En attente
579,28,2024-02-17,792.93,Expédiee
580,940,2024-06-06,279.86,Livree
581,193,2024-01-16,595.74,Expédiee
582,638,2024-04-29,933.49,En attente
583,995,2024-02-22,107.02,Livree
584,880,2024-02-05,718.2,En attente
585,571,2024-09-15,226.9,En attente
586,395,2023-12-17,180.02,Livree
587,830,2023-12-07,162.42,Annulee
588,984,2023-12-12,338.76,En attente
589,349,2024-05-29,990.35,En attente
590,861,2023-10-13,260.8,Livree
591,718,2023-12-28,520.92,Expédiee
592,152,2024-09-24,218.12,Annulee
593,302,2024-01-14,410.62,En attente
594,908,2024-04-12,847.71,Livree
595,429,2024-06-23,617.39,Expédiee
596,875,2024-01-18,172.68,Expédiee
597,197,2024-08-26,392.83,Annulee
598,867,2024-08-17,945.59,Annulee
599,1,2024-09-29,211.08,Expédiee
600,805,2024-07-10,163.12,Annulee
601,175,2024-05-05,152.66,Livree
602,773,2024-01-29,926.5,Expédiee
603,326,2023-10-29,360.3,Livree
604,905,2023-11-05,68.62,Annulee
605,720,2024-01-21,418.66,Expédiee
606,840,2024-08-14,758.47,Expédiee
607,418,2024-09-22,128.07,Expédiee
608,10,2024-07-04,191.71,Expédiee
609,795,2024-08-20,175.54,Livree
610,115,2023-12-14,353.96,En attente
611,316,2024-03-24,712.49,Annulee
612,421,2023-11-04,854.74,Expédiee
613,353,2024-01-29,61.29,Expédiee
614,40,2024-02-04,642.58,Livree
615,315,2023-10-18,642.77,En attente
616,301,2024-03-07,540.6,Livree
617,248,2024-05-09,165.61,Livree
618,855,2023-12-18,575.97,En attente
619,166,2024-09-07,611.37,En attente
620,83,2023-12-06,35.61,Livree
621,515,2024-10-02,212.67,Expédiee
622,399,2024-06-29,171.66,Livree
623,254,2024-02-22,617.58,Livree
624,30,2024-04-03,957.57,Expédiee
625,179,2024-09-02,480.13,Expédiee
626,32,2024-02-07,388.22,Expédiee
627,935,2024-06-29,596.92,Expédiee
628,779,2024-04-02,571.65,Expédiee
629,348,2023-10-11,955.96,Expédiee
630,198,2024-06-13,59.59,Annulee
631,995,2023-10-30,311.6,Annulee
632,441,2024-04-13,530.15,Annulee
633,247,2024-07-10,513.09,Expédiee
634,293,2024-05-05,412.83,Livree
635,300,2023-11-24,798.65,Annulee
636,233,2024-09-04,928.26,En attente
637,707,2024-03-16,329.85,Annulee
638,549,2024-08-22,872.04,Livree
639,500,2024-01-21,597.15,En attente
640,872,2024-04-15,567.39,En attente
641,385,2024-02-12,436.79,Expédiee
642,896,2023-10-16,470.32,En attente
643,850,2024-04-29,896.39,En attente
644,198,2023-12-08,844.26,Livree
645,256,2023-12-20,211.93,Annulee
646,58,2024-03-23,603.11,En attente
647,535,2023-11-01,409.72,Annulee
648,591,2024-07-30,80.21,Livree
649,759,2024-03-28,597.36,Expédiee
650,551,2024-07-23,350.37,Expédiee
651,285,2024-03-23,933.56,Livree
652,896,2024-05-18,667.86,Annulee
653,745,2023-10-19,847.3,Annulee
654,872,2024-03-03,722.25,Annulee
655,455,2024-04-16,303.06,Annulee
656,262,2024-02-24,145.58,Annulee
657,897,2024-02-21,93.99,Annulee
658,844,2024-06-03,468.54,Annulee
659,339,2024-06-22,894.55,En attente
660,26,2024-05-26,767.18,En attente
661,38,2024-10-02,809.16,En attente
662,267,2023-12-20,194.21,Expédiee
663,524,2024-09-25,931.26,Annulee
664,816,2024-04-04,776.64,En attente
665,192,2023-12-27,51.29,Expédiee
666,322,2023-12-14,74.83,Expédiee
667,360,2023-11-19,503.66,Annulee
668,110,2024-06-18,304.87,En attente
669,832,2024-10-01,854.32,Annulee
670,970,2024-09-06,168.84,Annulee
671,368,2024-09-09,278.97,Expédiee
672,322,2024-04-02,236.2,Annulee
673,842,2024-09-09,667.31,En attente
674,436,2023-10-10,615.55,Annulee
675,674,2024-09-11,330.64,Livree
676,584,2024-08-18,624.89,Expédiee
677,478,2023-10-25,320.35,Livree
678,917,2024-09-11,303.87,Annulee
679,523,2024-04-15,905.84,Livree
680,824,2024-04-23,812.56,Livree
681,448,2024-08-25,130.76,En attente
682,665,2024-05-12,32.74,Annulee
683,758,2024-03-12,947.55,Expédiee
684,592,2024-05-07,332.93,Expédiee
685,73,2024-07-08,320.18,En attente
686,88,2023-11-20,477.93,En attente
687,950,2024-03-29,204.92,En attente
688,856,2024-02-12,791.34,Annulee
689,238,2024-03-05,424.12,Livree
690,113,2024-01-29,872.8,Annulee
691,922,2024-08-05,201.36,Annulee
692,875,2024-09-01,759.56,En attente
693,111,2023-10-29,749.19,En attente
694,275,2024-04-23,343.68,En attente
695,859,2024-09-28,442.02,En attente
696,898,2024-08-11,108.8,Annulee
697,411,2023-12-20,335.19,En attente
698,925,2024-01-03,545.76,Expédiee
699,194,2024-05-13,206.07,En attente
700,940,2024-01-20,934.89,Livree
701,789,2023-11-19,874.38,Expédiee
702,800,2024-07-08,268.28,Expédiee
703,907,2024-02-25,224.66,Annulee
704,806,2024-04-11,810.51,Annulee
705,125,2024-07-25,241.28,Annulee
